,nose_x, nose_y, leftEye_x, leftEye_y, rightEye_x, rightEye_y, leftEar_x, leftEar_y, rightEar_x, rightEar_y, leftShoulder_x, leftShoulder_y, rightShoulder_x, rightShoulder_y, leftElbow_x, leftElbow_y, rightElbow_x, rightElbow_y, leftWrist_x, leftWrist_y, rightWrist_x, rightWrist_y, leftHip_x, leftHip_y, rightHip_x, rightHip_y, leftKnee_x, leftKnee_y, rightKnee_x, rightKnee_y, leftAnkle_x, leftAnkle_y, rightAnkle_x, rightAnkle_y, estado
0,165.825068254879,156.29547950358707,169.96658265822592,150.35089277571743,165.08546821802042,152.5088165520694,180.02067595604328,156.89672180650763,157.00244829348554,155.85235269153165,190.31624404372872,189.65522973917803,154.7007965206636,194.2157047731867,192.01672030794015,235.1468839534062,142.5736482969054,236.0301451924246,189.93605083064813,284.97845838969783,143.6090669743282,276.8652474369984,183.510331328277,283.1159925646355,163.7441048826225,280.9812731316118,176.0002195603189,352.9758408839601,155.86144117065905,352.6277356574507,170.36256604621383,432.72795324659535,168.36124820931877,431.4133877884089,sentado
1,167.06535844023588,154.94612756870137,170.36569201992643,149.5182883414777,165.76145335394122,150.67249401997964,175.9360168694522,154.76794706708262,156.292050729002,153.60775661839585,192.29538616967108,190.16294664909867,151.77814468799397,194.20354820874877,194.33108971740484,238.85821628199477,142.57204523346303,240.38040517369134,191.91973496967717,291.6726643009408,142.80217834947638,281.22916017524926,183.69382865697958,287.1994493536448,162.33517242312894,284.9308206877356,175.30000144869436,356.9866521813062,155.5868898384302,356.5193859055812,174.59230237433883,429.77083554991486,169.9444603827213,429.46141758781465,sentado
2,167.54405990184978,158.66296374844205,172.66413766586362,153.67571314949006,166.18463538500123,154.87525880568685,174.39071714646158,157.72021549684993,158.34447957198444,157.666699895599,192.2841914432986,190.96207377511703,153.0621985053274,195.2784556823018,192.9989974322486,238.0809709719647,144.4034249866055,237.8761261817546,189.69350733181847,290.3009763487582,148.61047796702107,281.9490959672149,183.42667813430967,287.6128794154304,163.21212827927408,285.1636656527389,174.1899868857536,358.3424430876854,157.35680546742006,357.9250053672939,176.21278577277633,428.13982536820583,168.74331166308212,427.90075517350135,sentado
3,165.554471145808,156.22923290683138,171.10459739595998,151.4740658177476,164.94886049500698,152.38361729722078,179.29764090808914,156.95926799848385,158.23849036072014,156.54362036560295,190.21263270990391,191.00961796504515,151.70197245675766,194.43567179520306,192.6840489012722,237.46261596679688,141.9041689267882,237.65535762801707,190.2283427316391,291.88811602759455,144.60736137419823,278.5211852552362,182.82854844623967,284.9196526790871,160.8077735752447,281.1766064120638,178.04236207954614,358.93915673638134,157.11463601672696,358.46603927909166,181.62101419055506,428.43257147050554,173.12990774904245,427.9010490684658,sentado
4,165.60502107969054,159.23951887435024,170.8213360856943,154.54685790065662,164.5523427525383,155.70500444345438,179.6835784318382,158.8252204865333,157.22091912295568,158.30250157456453,190.27937358455438,191.0877673078604,150.37650616716317,194.48652898291206,193.12427684026932,239.5146440439187,141.4427939092139,236.19352407492553,192.5527045698945,292.16549943857154,143.7012965577122,280.14578318317575,183.89888718898192,285.98641124680813,161.54122853557422,284.1801595131247,175.551335078733,357.07182828554386,155.1012417685661,356.09013895116425,168.6441354714479,434.5807205378313,163.81803282503952,434.6727630971471,sentado
5,163.283277578391,166.91447899963143,168.80868993380653,160.7212972084372,159.8866800389865,160.23957664400686,171.85429673250547,163.86775005652282,154.03221219430174,162.6918629449629,191.66722575978082,202.00103581647465,148.2266645023331,205.27409059992095,197.3468261006277,251.18024358489635,142.45921628484467,251.17612905539428,193.7233683664047,296.7172377768194,148.71167134682028,292.5080473784807,187.94488572888798,293.43258750113995,158.97402930352473,293.63724526728174,185.47282831214284,363.60535380441394,162.8614047158089,365.2933261737749,178.24675266844753,424.468997109261,166.48208380673182,423.9846314901508,sentado
6,171.72698677745774,90.32398847290514,172.03359937853386,85.33648405557477,164.0425685778666,83.72618678942729,178.80950808988933,91.03404538640716,157.4241875674474,89.7975624767259,192.3616995607369,129.24682973423822,146.7946212115455,138.81019859462396,197.3149251381247,186.80585126468642,142.61574207112946,191.20079663940905,202.70159235260365,216.18826751115256,141.27404476418104,239.45535741427528,186.6223049534898,241.647680260328,159.2518401980864,244.03509592731638,175.74535919070706,317.21088097717046,160.66095968164822,316.7234428197957,176.50082955564505,349.0660493012068,170.04235412360165,347.7438960093932,levantado
7,161.0816836820966,52.667577350186,169.07907330108523,45.76399131507725,157.7769683956636,44.75957521668668,176.14441511695952,52.71740924523498,157.06202881809338,51.421185504601624,190.72192596554294,99.33799417102384,148.99646892621823,104.83141873133322,195.3319623776447,155.25721538855407,144.9559875963263,163.73925116275535,203.96568803007966,206.46399115773954,145.01292306625425,219.17953045915536,185.18184557962974,224.4093779923851,162.04068966876673,224.4112215153438,180.58305732934855,330.1357135698489,165.22079349027996,318.773734244855,174.99531252374908,416.1992202936907,168.31935481802498,416.6828645342519,levantado
8,159.6075599759469,50.24324780772168,167.7984660701529,42.291264960738005,156.56849901963764,41.36133119753826,178.2703177010503,47.94396389319275,156.6486254740318,48.881371939692514,190.6518453753876,96.03172925659655,150.32112032522951,102.6357094137585,196.34306792619162,153.50306321674748,143.0929874167832,156.98626625862568,207.19086465204737,200.20979944370137,142.90417326099677,209.2258824448641,183.93976530676224,222.11623581466972,157.65449434866701,220.54861343324416,174.96512149558458,317.41324101904485,172.3264523517297,317.9983057400596,175.1774205308016,389.836975572638,174.59123366537725,389.68300132899896,levantado
9,164.34605520523013,48.54244759110625,170.89550448762768,41.20579730675842,159.24585542790157,40.33136627553502,175.39415470820921,48.106998784996655,152.94490769679444,46.086577775413424,189.60846481620104,98.39286136256118,148.2769873355613,103.44185662176822,211.54857887832105,147.4857508440426,122.77524035264545,156.0488615518414,237.20638408735107,192.09076402716136,99.48463885236808,182.04181389122158,182.9207513118996,229.1476060444279,153.14240511289367,230.5883058778043,179.96876341823474,330.8253247450298,161.78930260328002,322.0755640170917,178.89310784840862,416.0245665316452,172.75850466717077,416.7388916015625,levantado
10,162.97468786573594,47.08481873983539,169.0244622731487,37.18122638153195,159.83327130863174,38.86999360318314,180.47677422311983,44.225541348587214,150.56048441489847,50.325979240209676,198.51489827790613,93.77347374704561,145.74437419728082,98.68660270008132,240.20125392809916,101.10065593793698,114.6200157788941,98.73748660551435,270.2890715246535,87.71822220620479,75.00594024064475,78.69083092834235,185.2390482267981,219.05164607304079,150.29857056614026,218.7489209008124,172.3344676689415,319.3706081998951,169.59977502488906,319.5802087449842,176.46577590170537,426.0976294135305,171.25921286497598,427.452912683153,levantado
11,163.02537138823868,50.77052877107019,171.71410883447075,43.46445024245444,159.08613687359406,42.28772486230279,176.50769601072318,50.7348639491931,156.32889447045233,49.630373275697465,193.67113521590773,99.33476132641506,149.88930846930478,105.596246979116,206.39855054565902,158.14928878606062,131.93004177702076,162.84713299821786,214.84049637493922,211.50331460084433,113.6681434245425,216.76346003313472,189.6925989292011,224.53372228006444,155.2573534301283,228.73030191265656,186.09925206997053,319.3752303661539,160.45964163101138,317.77390357585267,180.02572560588672,417.27380715455524,170.11021714266172,419.0656847527055,levantado
12,172.0186374530718,129.58256465451726,176.17324354119802,123.7143906174003,169.22642154916252,124.56249133158286,179.348404583764,129.2302781041958,161.94570815980666,130.74525321040173,191.2206390024623,166.27016772555933,150.43218590406127,169.18829090400428,196.66875698223186,212.7738492498138,139.3585308980385,215.07530063970543,197.94356646704767,249.85368186861623,142.85483898355804,246.80580406337396,184.75494978492827,262.17701833999575,160.02897863722032,261.89001654836454,176.05079621192547,327.03391939749514,157.92458382098127,330.99728001694734,179.79710204128162,421.8600113568139,160.1409259009454,417.3951590571422,levantado
13,160.7787314092139,55.664464379099094,169.25132246796724,49.94247302934817,158.31992598359224,48.35041728928859,177.2275783672407,58.43820831655064,156.96400148859283,56.538538060763464,187.60500956138281,107.78120909219587,147.52544447605712,113.47410150075237,203.11729342093264,168.42145214748754,142.55288862532677,168.0451196455306,199.7498716361792,214.07719326390367,143.07826595083748,212.41159698842566,188.01234798208748,221.99417589239573,159.0471824319446,227.48068724160993,181.47954384176649,308.9158291946589,164.62383938206773,305.40325001519943,176.56233375638377,424.09446805367674,170.50109744535808,425.4214839712655,sentado
14,164.66725568363174,160.15349213715194,169.3982699501839,155.62240659958658,163.47088943659563,156.2192137603166,172.32858976965284,158.81005817814096,156.1012594616367,160.20762224605576,191.84086424831287,192.00442570192806,150.82416163344328,195.41010726750594,195.24603817713398,237.85234740735956,142.22340565247293,237.8972599014698,195.196530234489,290.89418997560495,149.24311359568793,274.10274164222096,184.0957166619802,283.66573645447016,161.65782468328217,284.8921334233265,182.49807691759634,361.93717926856607,156.83340525348825,356.4092020116428,179.5595814745714,423.8734857581469,166.86289152746534,423.97704365652356,sentado
15,168.3263548617233,152.15260249631413,168.15458661387402,148.54103414928866,166.77084896814964,148.96616657420356,178.98218474035596,152.46081816083262,161.18777976425704,153.2670121248594,189.49566258530672,184.04027293164444,154.92161850984922,190.16914516107582,202.19820371397736,231.86124512193732,142.79956001252052,234.03513273840284,206.26092754913213,281.92721415122656,149.3967672266385,249.06008531147404,185.49217194434732,280.80223766282376,160.76817790821832,279.67274587905825,186.0009041277815,355.80989674371506,157.2187549873085,356.36335439719113,180.47872461697472,421.5122534607171,157.24408338969783,418.73401092648044,sentado
